worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
annelida,Eunoe senta,130747,1,0,0,0
annelida,Eunoe uniseriata,327857,1,1,1,0
annelida,Euphrosine arctia,333371,1,0,0,0
annelida,Euphrosine bicirrata,156089,1,1,0,0
annelida,Euphrosine heterobranchia,327873,1,0,0,0
annelida,Euphrosine hortensis,333376,1,0,0,0
annelida,Eupolymnia heterobranchia,333398,1,0,1,1
annelida,Eusyllis blomstrandi,131290,1,1,1,1
annelida,Eusyllis habei,327926,0,0,1,0
annelida,Eusyllis japonica,327930,1,0,0,0
annelida,Exogone (Exogone) lourei,238226,1,1,0,0
annelida,Exogone (Parexogone) molesta,333450,1,1,0,1
annelida,Exogone naidina,327985,0,0,1,0
annelida,Exogone verugera,333456,1,0,1,0
annelida,Fabricia stellaris,130913,1,0,0,0
annelida,Fabriciola berkeleyi,155153,1,0,0,0
annelida,Flabelligera affinis,130103,1,0,1,1
annelida,Galathealinum brachiosum,265935,1,0,0,1
annelida,Galathowenia oculata,146950,1,0,1,1
annelida,Gattyana ciliata,254456,1,1,1,1
annelida,Gattyana cirrhosa,130749,1,0,1,1
annelida,Gattyana treadwelli,254738,1,0,1,0
annelida,Gaudichaudius iphionelloides,333489,0,0,1,0
annelida,Glycera americana,157388,1,1,1,1
annelida,Glycera capitata,130118,1,0,1,1
annelida,Glycera fallax,336908,1,0,0,0
annelida,Glycera macrobranchia,606086,0,0,1,0
annelida,Glycera nana,328132,0,0,1,1
annelida,Glycera oxycephala,130126,0,0,1,0
annelida,Glycera robusta,157394,1,0,1,1
annelida,Glycera tenuis,328149,1,0,1,0
annelida,Glycera tesselata,130128,1,0,1,1
annelida,Glycera tridactyla,130130,1,0,0,1
annelida,Glycinde armigera,240633,1,1,1,1
annelida,Glycinde picta,240625,1,1,1,1
annelida,Glycinde polygnatha,240626,1,0,1,0
annelida,Goniada annulata,240562,1,0,1,1
annelida,Goniada brunnea,240564,1,1,1,1
annelida,Goniada maculata,130140,1,1,1,1
annelida,Grania incerta,475696,1,0,0,0
annelida,Grania paucispina,475710,1,0,0,0
annelida,Grubeopolynoe tuta,333511,1,0,0,0
annelida,Halosydna brevisetosa,333534,1,1,1,1
annelida,Haplosyllis ohma,760707,0,0,1,1
annelida,Haplosyllis spongiphila,238187,1,0,1,0
annelida,Harmothoe extenuata,130762,1,0,1,1
annelida,Harmothoe fragilis,130763,1,1,1,1
annelida,Harmothoe imbricata,130769,1,0,1,1
annelida,Harmothoe multisetosa,333572,1,0,1,0
annelida,Harmothoe rarispina,130779,0,0,1,1
annelida,Hediste limnicola,333585,1,0,0,0
annelida,Helobdella stagnalis,160019,0,1,1,1
annelida,Hemipodia simplex,333592,1,1,1,1
annelida,Heptabrachia ctenophora,265947,1,0,0,0
annelida,Heptacyclus virgatus,370630,0,1,1,0
annelida,Hermadionella truncata,130786,0,1,1,0
annelida,Hermundura fauveli,558282,0,1,1,0
annelida,Hermundura ocularis,558285,0,0,1,0
annelida,Hesperonoe adventor,292976,1,0,0,0
annelida,Hesperonoe complanata,333616,1,0,1,0
annelida,Hesperonoe laevis,328360,0,0,1,0
annelida,Heteromastus filiformis,129884,1,0,1,1
annelida,Heteromastus filobranchus,328370,1,0,1,0
annelida,Heteropodarke heteromorpha,328381,0,0,1,0
annelida,Hobsonia florida,333624,1,0,1,0
annelida,Hololepida magna,328393,1,0,0,0
annelida,Hyboscolex pacificus,333634,1,1,1,0
annelida,Hypereteone fauchaldi,333651,0,1,1,0
annelida,Hypereteone heteropoda,333652,0,0,1,0
annelida,Hypereteone lighti,333653,0,0,1,0
annelida,Idanthyrsus saxicavus,333668,1,1,1,0
annelida,Isocirrus longiceps,333678,1,0,1,0
annelida,Janua heterostropha,884193,1,0,0,0
annelida,Janusion diminuta,370631,1,0,0,0
annelida,Janusion virida,370635,1,0,0,0
annelida,Jasmineira pacifica,328518,1,0,1,0
annelida,Kefersteinia cirrhata,130164,1,0,0,0
annelida,Kirkegaardia cristata,884739,0,0,1,0
annelida,Kirkegaardia dutchae,884738,0,0,1,0
annelida,Kirkegaardia secunda,884712,1,0,1,0
annelida,Kirkegaardia serratiseta,884713,0,0,1,0
annelida,Kirkegaardia tesselata,884716,0,0,1,1
annelida,Laetmonice pellucida,333750,1,0,0,0
annelida,Lamellibrachia barhami,265812,1,0,0,1
annelida,Lamellisabella coronata,265796,1,0,0,0
annelida,Lamellisabella zachsi,265801,1,0,0,0
annelida,Lamispina schmidtii,872865,1,0,0,0
annelida,Lanassa venusta,131494,0,0,1,1
annelida,Laonice cirrata,131128,1,1,1,1
