worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
annelida,Exogone rolani,760592,1,0,0,0
annelida,Exogone verugera,333456,1,1,1,0
annelida,Fabricia stellaris,130913,1,1,1,0
annelida,Fabricinuda pseudocollaris,328007,1,0,1,0
annelida,Fabricinuda trilobata,559006,1,1,1,0
annelida,Ficopomatus enigmaticus,130988,1,0,1,0
annelida,Ficopomatus miamiensis,333470,1,1,1,0
annelida,Ficopomatus uschakovi,369221,1,1,1,0
annelida,Filograna implexa,130989,1,1,1,0
annelida,Fimbriosthenelais hobbsi,338345,1,1,1,0
annelida,Fimbriosthenelais minor,131065,1,1,1,0
annelida,Flascarpia alvinae,328055,1,1,1,0
annelida,Galathowenia oculata,146950,1,1,1,1
annelida,Glycera americana,157388,1,1,1,1
annelida,Glycera brevicirris,328104,1,1,1,0
annelida,Glycera capitata,130118,1,1,1,1
annelida,Glycera dibranchiata,157392,1,1,1,1
annelida,Glycera gilbertae,328117,1,1,1,0
annelida,Glycera lapidum,130123,1,1,1,0
annelida,Glycera oxycephala,130126,1,1,1,0
annelida,Glycera papillosa,157393,1,1,1,0
annelida,Glycera pseudorobusta,328143,1,1,1,0
annelida,Glycera robusta,157394,1,1,1,1
annelida,Glycera sphyrabrancha,157395,1,1,1,0
annelida,Glycera tesselata,130128,1,1,1,1
annelida,Glycinde armigera,240633,1,1,1,1
annelida,Glycinde nordmanni,130136,1,1,1,1
annelida,Glycinde pacifica,240628,1,0,1,0
annelida,Glycinde solitaria,157396,1,1,1,0
annelida,Glyphohesione klatti,130696,1,1,1,0
annelida,Goniada acicula,328153,1,0,1,0
annelida,Goniada brunnea,240564,1,1,1,1
annelida,Goniada littorea,157399,1,1,1,1
annelida,Goniada maculata,130140,1,1,1,1
annelida,Goniada norvegica,130141,1,1,1,0
annelida,Goniada teres,157400,1,1,1,0
annelida,Goniadides carolinae,157407,1,1,1,0
annelida,Grubeulepis augeneri,130049,1,1,1,0
annelida,Grubeulepis fimbriata,421038,1,1,1,0
annelida,Grubeulepis mexicana,421039,1,1,1,0
annelida,Grubeulepis westoni,328176,1,1,1,0
annelida,Gymnonereis crosslandi,333515,1,1,1,0
annelida,Gyptis vittata,157414,1,1,1,0
annelida,Halosydna leucohyba,333538,1,1,1,0
annelida,Haplosyllides floridana,328215,1,0,1,0
annelida,Haplosyllis spongicola,131321,1,1,1,1
annelida,Harmothoe aculeata,328220,1,1,1,0
annelida,Harmothoe spinifera,130781,1,1,1,0
annelida,Harmothoe trimaculata,333579,1,1,1,0
annelida,Hemipodia simplex,333592,1,1,1,1
annelida,Heptacyclus philothermus,421087,1,0,1,0
annelida,Hermenia verruculosa,328326,1,1,1,0
annelida,Hermodice carunculata,129831,1,1,1,1
annelida,Hermundura fauveli,558282,1,1,1,0
annelida,Hermundura tricuspis,337595,1,0,1,0
annelida,Hermundura vivianneae,558290,1,0,1,0
annelida,Hesione picta,328339,1,1,1,0
annelida,Hesionura coineaui,130647,1,1,1,0
annelida,Hesionura elongata,130649,1,1,1,0
annelida,Heteromastus filiformis,129884,1,1,1,1
annelida,Heteropodarke formalis,328380,1,1,1,0
annelida,Heteropodarke heteromorpha,328381,1,1,1,0
annelida,Heteropodarke lyonsi,328382,1,1,1,0
annelida,Heterospio catalinensis,333622,1,1,1,1
annelida,Heterospio longissima,130207,1,1,1,0
annelida,Hipponoe gaudichaudi,129832,1,1,1,1
annelida,Hobsonia florida,333624,1,0,1,0
annelida,Hyalinoecia tubicola,130464,1,1,1,1
annelida,Hyalopale bispinosa,328423,1,0,1,0
annelida,Hyboscolex longiseta,209886,1,1,1,0
annelida,Hyboscolex quadricincta,328431,1,1,1,0
annelida,Hydroides bispinosa,421083,1,1,1,0
annelida,Hydroides dianthus,131000,1,1,1,1
annelida,Hydroides dirampha,131001,1,1,1,1
annelida,Hydroides elegans,131002,1,1,1,1
annelida,Hydroides microtis,333641,1,1,1,0
annelida,Hydroides mongeslopezi,328456,1,1,1,0
annelida,Hydroides norvegica,131009,1,1,1,1
annelida,Hydroides parva,876557,1,1,1,0
annelida,Hydroides protulicola,338020,1,1,1,0
annelida,Hydroides sanctaecrucis,333645,1,0,1,1
annelida,Hydroides spongicola,338021,1,1,1,0
annelida,Hypereteone heteropoda,333652,1,1,1,0
annelida,Hypereteone lactea,146984,1,1,1,0
annelida,Inermonephtys inermis,130346,1,1,1,1
annelida,Inermosyllis curacaoensis,760667,1,0,1,0
annelida,Isolda pulchella,157441,1,1,1,1
annelida,Jasmineira pacifica,328518,1,1,1,0
annelida,Kefersteinia cirrhata,130164,1,1,1,0
annelida,Kinbergonuphis cedroensis,333692,1,1,1,0
annelida,Kinbergonuphis oligobranchiata,333706,1,1,1,0
annelida,Kinbergonuphis orensanzi,333707,1,1,1,0
annelida,Kinbergonuphis simoni,333715,1,1,1,0
annelida,Kirkegaardia baptisteae,884699,1,1,1,0
annelida,Kirkegaardia dorsobranchialis,884702,1,1,1,0
annelida,Kirkegaardia tesselata,884716,1,1,1,1
annelida,Labrorostratus luteus,328557,1,1,1,0
annelida,Lacydonia miranda,130206,1,1,1,0
annelida,Laeonereis culveri,333727,1,1,1,0
annelida,Lamelleulepethus biminiensis,328601,1,1,1,0
annelida,Lamellibrachia luymesi,265815,1,1,1,1
annelida,Lanice conchilega,131495,1,1,1,1
annelida,Lanicides taboguillae,333771,1,1,1,0
annelida,Laonice cirrata,131128,1,1,1,1
annelida,Laubierus mucronatus,328675,1,0,1,0
annelida,Leanira alba,328681,1,1,1,0
annelida,Leanira hystricis,131068,1,1,1,0
annelida,Leiocapitella glabra,129886,1,1,1,0
annelida,Leiochrides pallidior,333782,1,1,1,0
